hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
1,131.71925,824.1,9,0.055375613,0.45646045,36,0.043553576,11,299.5,153,855.5,253.5,2
1,131.52556,194.55,9,0.04145055,0.4346489,37.5,0.043719597,18,294,145,857,280,3
1,270,662.85,9,0.00173487,0.4036329,41,0.06534558,18,295.5,146.5,801.25,280,4
1,321.01657,965.75,2,0.27861348,0.5894263,155.75,10.218705,1204,249,148,0,122.5,0
1,160.17068,852.15,2,0.36607966,0.07613948,81,16.135733,1316.25,146,52,0.034090909,278,1
1,307.66367,468.6,2,0.27583975,0.6797659,84,23.611643,1843.666667,147,60,0,249,2
1,277.87955,346.75,2,0.33859324,0.712003,84.5,8.396278,1340.25,228,128,9.666666667,170.5,3
1,173.57645,1317.9,2,0.20399362,0.57584643,146.8,4.6564736,1178,272,169,0.018867925,116,4
1,200.92233,909.95,16,-0.010525309,0.36680442,34.8,0.7446792,136.125,133,0,339.75,340.5,0
1,81.19728,661.05,16,-0.019882912,0.3456291,34,2.2715855,149,128,-4,317.5,344.5,1
1,259.07877,854.5,16,-0.068698645,0.37862375,37.25,3.6665814,182,126,-6,272.5,352,2
1,304.46762,1411.1,10,-0.034581464,0.35460478,25.5,8.490053,95.16666667,137,1,542.5,349,3
1,309.313,1581.1,10,-0.032523938,0.35651875,22.5,10.450396,99.5,143.5,6,574.5,332,4
1,180,72.3,17,0.1638337,0.5071569,246.25,0.08695221,2454,314,232,0,200,0
1,0,137.75,2,0.02388439,0.40993544,227,0,2052,316.5,229,0,197,1
1,83.29438,855.85,2,0.09699006,0.4333713,205.5,0.4964256,2315.977273,323,221,0.01010101,210,2
1,75.967384,342.3,2,0.24313249,0.53337836,231.75,0.11953455,2036.979798,317,226,0,197.5,3
1,134.99724,549.1,17,0.18222184,0.51654536,222.5,0.040991664,2560,313.5,238.5,0,204.5,4
1,325.07812,65.9,17,0.27255186,0.43135223,48,2.225887,553.5,101.5,27,32,735,0
1,343.5084,54.05,17,0.27210402,0.4217409,48,1.2089251,553.5,101.5,27,32,735,1
1,115.28138,869.4,10,0.1087656,0.42194185,88.5,0.67865086,1146.5,295,202.5,219.5,274,0
1,156.36632,861.75,10,0.1892156,0.48753548,80.5,0.7276263,1087.5,307,218.5,242,330.2,1
1,299.83502,1719.7,10,0.17330706,0.46935192,84.5,0.6408218,1180.5,287,204.5,228.5,280.3333333,2
1,295.4181,1563.65,10,0.05300421,0.4125901,71.41666667,2.2947004,718.25,300,211.5,313,269.6,3
1,15.382872,821.85,17,0.16863458,0.5012593,96.5,0.33066773,1325,300,204,153.5,309.5833333,4
1,180,90.2,17,0.22834282,0.4769394,72.5,0.028984088,414.5,185,107.5,78.25,408,0
1,0,79.5,17,0.21727814,0.5106223,72.5,0,414.5,185,107.5,78.25,408,1
1,313.4421,1722.3,9,0.15144406,0.51844865,67,0.25290588,220,187.5,83,98.5,420.3333333,2
