hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
0,327.52936,9.9,16,-0.097659364,0.118920065,0,0.3091912,0,336.6666667,165.25,2188.5,421.25,7
0,12.851693,47.8,16,-0.0949517,0.12679966,0,0.14864379,0,340.6666667,174.75,2235.5,429.6666667,8
0,306.8009,103.1,16,-0.08451257,0.11326819,0,0.29030466,0,340.25,166.8333333,2201,420.3333333,9
0,128.01884,31.3,16,-0.12190932,0.10205982,0,1.9286559,0,377.25,220.8333333,2560,434,0
0,270,52.9,16,-0.14560804,0.0774796,0,0.032430258,0,368.5,203,2451,440,1
0,264.3302,171.65,16,-0.08957335,0.10316896,0,0.2933733,0,371.5,211.5,2553.5,443.5,2
0,143.18025,571.1,16,-0.112914875,0.1146055,0,0.108618945,0,360.5,197,2506,453.25,3
0,293.86972,74.75,16,-0.14140458,0.12831518,0,0.8594486,0,355.5,189.8333333,2534,460.25,4
0,231.33687,25.45,16,-0.18185928,0.11176971,0,1.9014481,0,368.3333333,207.8333333,2500.5,442.125,5
0,246.14587,289.9,16,-0.16795875,0.15168747,0,1.6479596,0,348.5,183.8333333,2461.5,478.8333333,6
0,36.606255,39.5,16,-0.17766008,0.09181686,0,0.108317554,0,377,216.75,2517.5,424.2,7
0,0,323.65,16,-0.11990776,0.1205667,0,0,0,374.75,215.5,2487,417,8
0,281.7113,27.35,16,-0.18015559,0.09446896,0,0.4283693,0,377,217.25,2506.5,433.5,9
0,21.255398,11.85,16,-0.09056331,0.12199282,1,0.55977654,0,323.1666667,164,2032.5,401.6666667,0
0,61.452023,1.7,16,-0.092983395,0.12213995,1,0.42453918,0,329.75,174.5,2067.5,400.25,1
0,241.67331,620.2,16,-0.0819145,0.112741254,1,0.3054153,0,324.6,153,2022,409.0833333,2
0,27.46867,0.85,16,-0.10519642,0.14028263,1,1.3064475,0,345.75,169.5,2202,417,3
0,51.384045,56.35,16,-0.09496213,0.12351853,1,0.6037189,0,344.75,173,2200,405.5,4
0,285.94156,111.25,16,-0.09405821,0.11963764,1,0.5276268,0,341,177,2172,400,5
0,199.81485,347.1,16,-0.08691279,0.121302016,1,0.40049946,0,336.5,178.6666667,2111.5,397.25,6
